Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1843,Pompano Beach,1227 S Federal Blvd,Pompano Beach,FL,33062,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,1/28/2017,FY16 Closure,Acquisition - Noble Comm,,,,,,,,,,,,,,,,,
1844,Bayport Commons,11727 W Hillsborough Ave,Tampa,FL,33635,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,1/28/2017,FY16 Closure,Acquisition - Noble Comm,,,,,,,,,,,,,,,,,
1845,Fleming Island,5000-14 US Hwy 17,Orange Park,FL,32003,South Market,Florida Region,Jacksonville,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Mario Purifoy,,Acquisition,Noble Comm,2,"2,100", 2000-2500 ,,Open,Acquisition - Noble Comm,,x,x,2,,,,,,,,,,,,,
1846,Rio Pinar,599 S Chickasaw Trail,Orlando,FL,32825,South Market,Florida Region,Orlando,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Joseph Fletcher,,Acquisition,Noble Comm,5,"1,500", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1847,Bay Meadows,"8206 Phillips Hwy, Ste 20",Jacksonville,FL,32256,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,4/15/2017,Closed,Acquisition - Noble Comm,,,,5,,,,,,,,,,,,,
1848,Mariners Village,4586 E Michigan St,Orlando,FL,32812,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,1/28/2017,FY16 Closure,Acquisition - Noble Comm,,,,,,,,,,,,,,,,,
1849,Inverness,"1078 W Main St, Ste 104",Inverness,FL,34450,South Market,Florida Region,Central Florida,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Bryan Gauvin,,Acquisition,Noble Comm,4,"1,520", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1850,Mt Dora,"6551 N Orange Blossom Trl, Ste 205",Mt Dora,FL,32757,South Market,Florida Region,Central Florida,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Bryan Gauvin,,Acquisition,Noble Comm,5,"1,300", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1851,Land O Lakes,"23388 St Rd 54, Ste 106",Lutz,FL,33549,South Market,Florida Gulf Region,North Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Stephen Stilwell,,Acquisition,Noble Comm,5,"1,200", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1852,OBT Commons,"12648 S Orange Blossom Trl, Ste 60",Orlando,FL,32837,South Market,Florida Region,Orlando,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Joseph Fletcher,,Acquisition,Noble Comm,4,"1,502", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
